identifiant,titre,description,lien,état,prix,disponibilité,lien image,gtin,référence fabricant,marque
360,Traversin vinyle 1/2 lune,Traversin de vinyle en forme de 1/2 lune.,https://massageboutik.com/fr/traversins-et-coussins-de-massage/360-traversin-vinyle-12-lune.html,new,CAD$31.99,In Stock,https://massageboutik.com/889-large_default/traversin-vinyle-12-lune.jpg,,TRAV626DL-XXX,
241,Complexe 25 PLUS - Complexe Spécialisé,"Complexe 25 PLUS - Complexe Spécialisé,
,Ces huiles essentielles sont extraites de plantes traditionnellement reconnues comme antiseptiques, antivirales, expectorantes, mucolytiques, réchauffantes et tonifiantes du système immunitaire.,
,
,
",https://massageboutik.com/fr/ambiance/241-complexe-specialise-formule-25-plus.html,new,CAD$22.64,In Stock,https://massageboutik.com/4325-large_default/complexe-specialise-formule-25-plus.jpg,,,"
						Aliksir
					"
373,Table Instant à dossier Nomad,"Table de construction en ciseaux et à ajustement rapide de la hauteur, spécialement conçue pour utilisations en environnement Spas ou lorsqu’il y a plusieurs thérapeutes par cabine.",https://massageboutik.com/fr/equipements-de-massage/373-table-instant-a-dossier-nomad.html,new,CAD$949.00,In Stock,https://massageboutik.com/2794-large_default/table-instant-a-dossier-nomad.jpg,,,"
						Nomad
					"
352,Super dégraisseur à l'orange,Un nettoyant à l'orange super dégraissant pour tous vos outils de travail.,https://massageboutik.com/fr/divers/352-super-degraisseur-a-l-orange.html,new,CAD$14.99,In Stock,https://massageboutik.com/873-large_default/super-degraisseur-a-l-orange.jpg,,COMOR4-PAU,
347,Ceinture porte-bouteille avec bouteille,"Ceinture de nylon pour garder la bouteille d'huile à la portée de la mains.,
,*Inclus une bouteille à pompe de 250ml",https://massageboutik.com/fr/bouteilles-pompes-et-ceintures/347-ceinture-porte-bouteille-et-bouteille-vide.html,new,CAD$19.99,In Stock,https://massageboutik.com/860-large_default/ceinture-porte-bouteille-et-bouteille-vide.jpg,,CEINTUREPB+B,
369,Sous-vêtement jetable pour homme - Boxer,"Sous-vêtements, de type boxer, jetable pour homme.,
,Paquet de 6",https://massageboutik.com/fr/accessoires-de-soins-de-corps/369-sous-vetement-jetable-pour-homme-boxer.html,new,CAD$5.99,In Stock,https://massageboutik.com/901-large_default/sous-vetement-jetable-pour-homme-boxer.jpg,,MB-CGDW04,
343,Bandeaux de ratine (2),Paquet de 2 bandeaux de ratine épais et doux pour tenir les cheveux de vos clients bien en place.,https://massageboutik.com/fr/vetements-d-interieur/343-bandeaux-de-ratine-2.html,new,CAD$9.99,In Stock,https://massageboutik.com/849-large_default/bandeaux-de-ratine-2.jpg,,AH100B-RX2,"
						Allez Housses
					"
340,Le Révélateur de réflexologie des Mains,Charte réflexologique des mains sous forme roulette.,https://massageboutik.com/fr/divers/340-le-revelateur-de-reflexologie-des-mains.html,new,CAD$24.99,In Stock,https://massageboutik.com/835-large_default/le-revelateur-de-reflexologie-des-mains.jpg,,Revelmains,
310,Coquillage de porcelaine,Coquillage fait de coquillages naturels broyés et de poudre de porcelaine.,https://massageboutik.com/fr/coquillages-de-massage/310-coquillage-de-porcelaine.html,new,CAD$39.99,In Stock,https://massageboutik.com/709-large_default/coquillage-de-porcelaine.jpg,,PSM-LSM,"
						LavaShell
					"
43,Biogel - Relaxation et détente,"BIOGEL Relaxation & Détente est recommandé pour le massage global ou spécifique favorisant le calme, la relaxation et la détente.",https://massageboutik.com/fr/produits-de-massage/43-biogel-relaxation-et-detente.html,new,CAD$9.89,In Stock,https://massageboutik.com/102-large_default/biogel-relaxation-et-detente.jpg,,GELXXXREL,"
						Les Soins Corporels l'Herbier
					"
