id,title,description,link,condition,price,availability,image link,gtin,mpn,brand
Ma73,Fitted sheet - 50/50 Poly-Cotton interlock,A soft and flexible cotton interlock fitted sheet.,https://massageboutik.com/en/massage-linen/1011-fitted-sheet-cotton-interlock.html,new,CAD$23.99,In Stock,https://massageboutik.com/4483-large_default/fitted-sheet-cotton-interlock.jpg,,AH600EXXXX-TPCX,"
						Allez Housses
					"
Ma74,Shoulder pillow - Buckweat & Vinyl,"A pair of shoulder pillow, filled with natural buckweat shell, to make your client more confortable when laying on their stomach.,
,Can also help client with sensitive breast.",https://massageboutik.com/en/massage-equipment/995-shoulder-pillow-pair-buckweat.html,new,CAD$10.99,In Stock,https://massageboutik.com/4345-large_default/shoulder-pillow-pair-buckweat.jpg,,,"
						Allez Housses
					"
Ma75,Terry cotton Hand Towel - Imported from Pakistan,"Hand towel ,
,Hand towel made of 100% cotton terry.,
,It comes in three colors (white, ivory, grey) to match your decor.,
",https://massageboutik.com/en/shop-by-category-massage-boutik-products/979-terry-cotton-hand-towel-16-x27-.html,new,CAD$2.50,In Stock,https://massageboutik.com/4134-large_default/terry-cotton-hand-towel-16-x27-.jpg,,,
Ma76,Aromatherapy 'Bliss' Massage Lotion - Biotone,"Biotone's 'Bliss' Aromatherapy Massage Lotion,
,This massage lotion is made with a 100% essential oil blend of bergamot, rosewood, coriander, sweet orange, grapefruit and ylang ylang.",https://massageboutik.com/en/home/935-bliss-aromatherapy-massage-lotion-biotone.html,new,CAD$1.25,In Stock,https://massageboutik.com/3904-large_default/bliss-aromatherapy-massage-lotion-biotone.jpg,,,"
						Biotone
					"
Ma77,Earthlite LEC Strata Face Pillow,Buy Earthlite LEC Strata Face Pillow from Massage Boutik,https://massageboutik.com/en/massage-equipment/911-earthlite-lec-strata-face-pillow.html,new,CAD$69.99,In Stock,https://massageboutik.com/3770-large_default/earthlite-lec-strata-face-pillow.jpg,,EL-63202C,"
						Earthlite
					"
Ma78,Percale flat sheet,Buy Percale flat sheet from Massage Boutik,https://massageboutik.com/en/shop-by-category-massage-boutik-products/883-percale-flat-sheet.html,new,CAD$14.99,In Stock,https://massageboutik.com/3661-large_default/percale-flat-sheet.jpg,,,
Ma79,"Taping:Techniques, Effets, Applic. Cliniques","Buy Taping:Techniques, Effets, Applic. Cliniques from Massage Boutik",https://massageboutik.com/en/books-charts-and-reflexology/713-tapingtechniques-effets-applic-cliniques-9782294747311.html,new,CAD$116.95,In Stock,https://massageboutik.com/2996-large_default/tapingtechniques-effets-applic-cliniques.jpg,,9782294747311,
Ma80,"Niaouli, Melaleuca quinquinervia cineolifera","Buy Niaouli, Melaleuca quinquinervia cineolifera from Massage Boutik",https://massageboutik.com/en/ambience/287-niaouli-melaleuca-quinquinervia-cineolifera.html,new,CAD$9.10,In Stock,https://massageboutik.com/4251-large_default/niaouli-melaleuca-quinquinervia-cineolifera.jpg,,,"
						Aliksir
					"
Ma81,Harmony massage Roller,Harmony massage rollers. ,https://massageboutik.com/en/-massage-accessories/728-harmony-massage-roller.html,new,CAD$9.99,In Stock,https://massageboutik.com/3806-large_default/harmony-massage-roller.jpg,,,
Ma82,Earthlite Caress Platform Headrest,"Earthlite Headrest Caress Platform is a self-adjusting platform that conforms to the unique face shape and contours of each of your clients.,
,Sinus pressure is reduced and pressure points eliminated. Soft petals flex and balance to suspend the client’s face in a cradle of comfort.,
,8 inches between the tables hole.",https://massageboutik.com/en/shop-by-category-massage-boutik-products/910-base-appui-tete-flexrest-de-earthlite.html,new,CAD$119.99,In Stock,https://massageboutik.com/3759-large_default/base-appui-tete-flexrest-de-earthlite.jpg,,,"
						Earthlite
					"
Ma83,Mango Oil,"Bring your clients on a journey to the heart of the tropics with this captivating scented oil. Made with a rich and moisturizing blend of plant based oils, it will leave the skin soft and silky.",https://massageboutik.com/en/shop-by-category-massage-boutik-products/297-mago-oil.html,new,CAD$12.99,In Stock,https://massageboutik.com/685-large_default/mago-oil.jpg,,HM-XXX,
Ma84,Nutri-Naturals Light Massage Oil - Biotone,Buy Nutri-Naturals Light Massage Oil - Biotone from Massage Boutik,https://massageboutik.com/en/shop-by-category-massage-boutik-products/961-huile-de-massage-nutri-naturals-de-biotone.html,new,CAD$1.25,In Stock,https://massageboutik.com/4048-large_default/huile-de-massage-nutri-naturals-de-biotone.jpg,,NNO,"
						Biotone
					"
Ma85,Terry Cotton Facecloth - 12''x12'',Buy Terry Cotton Facecloth - 12''x12'' from Massage Boutik,https://massageboutik.com/en/shop-by-category-massage-boutik-products/978-debarbouillette-12-x12-.html,new,CAD$1.00,In Stock,https://massageboutik.com/4130-large_default/debarbouillette-12-x12-.jpg,,,
Ma86,Percale fitted sheet,"Percale fabric is known for its tight weaving and is often found in the confection of bedsheets.,
,Our percale linen is a 180 thread polyester/cotton blend (60% polyester and 40% cotton).,
",https://massageboutik.com/en/shop-by-category-massage-boutik-products/882-housse-contour-en-percale.html,new,CAD$14.99,In Stock,https://massageboutik.com/3660-large_default/housse-contour-en-percale.jpg,,,
